Year,Time Code,Country Name,Country Code,GDP,Inflation,GDP_growth,GDP_per_capita,Population,FDI,FDI_BOP,Export,Import,TradeBalance
1985,YR1985,Viet Nam,VNM,14094687820.744,5.6749999999999,3.8058556681095,238.6478053134,59060622.0,-0.0005675897261254,-80000.0,18369971808.0,23184660128.0,-4814688320.0
1986,YR1986,Viet Nam,VNM,26336616250.44,5.6749999999999,2.7892915747944,436.41929677222,60347048.0,0.0001518797996661,40000.0,18369971808.0,23184660128.0,-4814688320.0
1987,YR1987,Viet Nam,VNM,36658108850.315,5.6749999999999,3.5834696313072,595.24748870161,61584651.0,0.028271244821488,10363703.7,18369971808.0,23184660128.0,-4814688320.0
1988,YR1988,Viet Nam,VNM,25423812648.594,5.6749999999999,5.1350116715781,404.55930507889,62843228.0,0.030207899995773,7679999.9,18369971808.0,23184660128.0,-4814688320.0
1989,YR1989,Viet Nam,VNM,6293304974.594,5.6749999999999,7.3645128939582,98.107017215958,64147348.0,0.064671901591144,4070000.0,18369971808.0,23184660128.0,-4814688320.0
1990,YR1990,Viet Nam,VNM,6471740805.5698,5.6749999999999,5.1009181390837,98.79833703114,65504552.0,2.7813227601001,180000000.0,18369971808.0,23184660128.0,-4814688320.0
1991,YR1991,Viet Nam,VNM,9613369520.4188,5.6749999999999,5.9608439321891,143.71527023194,66891775.0,3.9027968206475,375190280.0,18369971808.0,23184660128.0,-4814688320.0
1992,YR1992,Viet Nam,VNM,9866990236.4359,5.6749999999999,8.6460474593457,144.54939237168,68260337.0,4.8033478157286,473945860.0,18369971808.0,23184660128.0,-4814688320.0
1993,YR1993,Viet Nam,VNM,13180953598.172,5.6749999999999,8.0727306573961,189.41857358433,69586384.0,7.0275925266021,926303710.0,18369971808.0,23184660128.0,-4814688320.0
1994,YR1994,Viet Nam,VNM,16286433533.323,5.6749999999999,8.8389809524537,229.85778726576,70854391.0,11.939482858672,1944515940.0,18369971808.0,23184660128.0,-4814688320.0
1995,YR1995,Viet Nam,VNM,20736164458.95,5.6749999999999,9.5404801749126,287.80266102859,72049940.0,8.5859658546039,1780400000.0,18369971808.0,23184660128.0,-4814688320.0
1996,YR1996,Viet Nam,VNM,24657470574.75,5.6749999999999,9.3400174993918,337.05123179028,73156447.0,9.7130806371216,2395000000.0,18369971808.0,23184660128.0,-4814688320.0
