Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]"
1990,YR1990,Viet Nam,VNM,6471740806,98.79833703,65504552,2.78132276,0,..,6537.604686
2000,YR2000,Viet Nam,VNM,31172518403,404.0297841,77154011,4.16392408,0,-1.710337279,14167.75
2001,YR2001,Viet Nam,VNM,32685198809,419.2056776,77969361,3.977335453,0,-0.431544512,14725.16667
2002,YR2002,Viet Nam,VNM,35064105501,445.1328618,78772224,3.992687051,0,3.830828382,15279.5
2003,YR2003,Viet Nam,VNM,39552513232,497.1170892,79563777,3.6660123,0,3.234648173,15509.58333
2004,YR2004,Viet Nam,VNM,45427854693,565.4522846,80338971,3.544081073,0,7.754947487,15746
2005,YR2005,Viet Nam,VNM,57633255738,710.74676,81088313,3.390403639,0.112782107,8.284572431,15858.91667
2006,YR2006,Viet Nam,VNM,66371664817,807.7566451,82167897,3.616000904,0.128066699,7.418017151,15994.25
2007,YR2007,Viet Nam,VNM,77414425532,925.6403383,83633375,8.654717714,0.2376818,8.344448898,16105.125
2008,YR2008,Viet Nam,VNM,99130304099,1163.831958,85175788,9.663039055,0.302631978,23.11544835,16302.25
2009,YR2009,Viet Nam,VNM,1.06015E+11,1226.169761,86460018,7.168819889,0.660286042,6.7169827,17065.08333
2010,YR2010,Viet Nam,VNM,1.47201E+11,1683.161824,87455152,5.434739293,0.611408171,9.207466488,18612.91667
2011,YR2011,Viet Nam,VNM,1.72595E+11,1950.925042,88468314,4.304874349,0.55042135,18.67773228,20509.75
2012,YR2012,Viet Nam,VNM,1.95591E+11,2185.117677,89510356,4.278322877,0.613526225,9.094703396,20828
2013,YR2013,Viet Nam,VNM,2.13709E+11,2359.517365,90573104,4.164545173,0.915264085,6.592674759,20933.41667
2014,YR2014,Viet Nam,VNM,2.33451E+11,2546.384645,91679578,3.940861891,0.492607736,4.084554466,21148
2015,YR2015,Viet Nam,VNM,2.39258E+11,2577.568853,92823254,4.931907733,0.459754111,0.631200905,21697.5675
2016,YR2016,Viet Nam,VNM,2.57096E+11,2735.060438,94000117,4.900893029,0.388959764,2.66824817,21935.00083
2017,YR2017,Viet Nam,VNM,2.81354E+11,2956.109921,95176977,5.011487217,0.17060382,3.520256888,22370.08667
2018,YR2018,Viet Nam,VNM,3.10106E+11,3222.310031,96237319,4.998283196,0.19283699,3.539628059,22602.05
2019,YR2019,Viet Nam,VNM,3.34365E+11,3440.900254,97173776,4.821074861,0.14505095,2.795823675,23050.24167
2020,YR2020,Viet Nam,VNM,3.46616E+11,3534.039535,98079191,4.558361968,0.10963149,3.220934367,23208.36833
2021,YR2021,Viet Nam,VNM,3.66475E+11,3704.193559,98935098,4.273145662,0.08704556,1.834715548,23159.78259
2022,YR2022,Viet Nam,VNM,4.13445E+11,4147.697772,99680655,4.329473089,0.646760393,3.1565075,23271.2125
2023,YR2023,Viet Nam,VNM,4.33858E+11,4323.35032,100352192,4.264071098,-0.357260011,3.252892827,23787.31917
2024,YR2024,Viet Nam,VNM,4.76388E+11,4717.290287,100987686,4.233941713,0.125947696,3.621092739,24164.88583
