"Time","Time Code","Country Name","Country Code","GDP (current US$) [NY.GDP.MKTP.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","Population, total [SP.POP.TOTL]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]"
"1960","YR1960","Viet Nam","VNM","..","..","..","..","32531933","..",".."
"1961","YR1961","Viet Nam","VNM","..","..","..","..","33409059","..",".."
"1962","YR1962","Viet Nam","VNM","..","..","..", "..", "34288560", "..", ".."
"1963","YR1963","Viet Nam","VNM","..","..","..","..","35249101","..",".."
"1964","YR1964","Viet Nam","VNM","..","..","..","..","36201563","..",".."
"1965","YR1965","Viet Nam","VNM","..","..","..","..","37129656","..",".."
"1966","YR1966","Viet Nam","VNM","..","..","..","..","38024836","..",".."
"1967","YR1967","Viet Nam","VNM","..","..","..","..","38895080","..",".."
"1968","YR1968","Viet Nam","VNM","..","..","..","..","39734609","..",".."
"1969","YR1969","Viet Nam","VNM","..","..","..","..","40582096","..",".."
"1970","YR1970","Viet Nam","VNM","..","..","..","..","41475230","..","70000"
"1971","YR1971","Viet Nam","VNM","..","..","..","..","42449276","..","1820000"
"1972","YR1972","Viet Nam","VNM","..","..","..","..","43429168","..","-890000"
"1973","YR1973","Viet Nam","VNM","..","..","..","..","44409861","..","1030000"
"1974","YR1974","Viet Nam","VNM","..","..","..","..","45413537","..","1250000"
"1975","YR1975","Viet Nam","VNM","..","..","..","..","46482903","..","4089999.9"
"1976","YR1976","Viet Nam","VNM","..","..","..","..","47684931","..","-340000"
"1977","YR1977","Viet Nam","VNM","..","..","..","..","48954872","..","-10000"
"1978","YR1978","Viet Nam","VNM","..","..","..","..","50249552","..","463333.3"
"1979","YR1979","Viet Nam","VNM","..","..","..","..","51378211","..","-60000"
"1980","YR1980","Viet Nam","VNM","..","..","..","..","52490101","..","1666666.6"
"1981","YR1981","Viet Nam","VNM","..","..","..","..","53738141","..","17910000"
"1982","YR1982","Viet Nam","VNM","..","..","..","..","55011289","..","13050000"
"1983","YR1983","Viet Nam","VNM","..","..","..","..","56337921","..","131111.1"
"1984","YR1984","Viet Nam","VNM","..","..","..","..","57706067","..","690000"
"1985","YR1985","Viet Nam","VNM","14094687820.744","..","3.8058556681095","238.6478053134","59060622","-0.00056758972612544","-80000"
"1986","YR1986","Viet Nam","VNM","26336616250.44","..","2.7892915747944","436.41929677222","60347048","0.00015187979966611","40000"
"1987","YR1987","Viet Nam","VNM","36658108850.315","..","3.5834696313072","595.24748870161","61584651","0.028271244821488","10363703.7"
"1988","YR1988","Viet Nam","VNM","25423812648.594","..","5.1350116715781","404.55930507889","62843228","0.030207899995773","7679999.9"
"1989","YR1989","Viet Nam","VNM","6293304974.594","..","7.3645128939582","98.107017215958","64147348","0.064671901591144","4070000"
"1990","YR1990","Viet Nam","VNM","6471740805.5698","..","5.1009181390837","98.79833703114","65504552","2.7813227601001","180000000"
"1991","YR1991","Viet Nam","VNM","9613369520.4188","..","5.9608439321891","143.71527023194","66891775","3.9027968206475","375190280"
"1992","YR1992","Viet Nam","VNM","9866990236.4359","..","8.6460474593457","144.54939237168","68260337","4.8033478157286","473945860"
"1993","YR1993","Viet Nam","VNM","13180953598.172","..","8.0727306573961","189.41857358433","69586384","7.0275925266021","926303710"
"1994","YR1994","Viet Nam","VNM","16286433533.323","..","8.8389809524537","229.85778726576","70854391","11.939482858672","1944515940"
